"","ANALYTE_ACCESSION","GENE_SYMBOL","GENE_ALIASES","GENE_ID","GENETIC_NOMENCLATURE_ID","IMMUNOLOGY_SYMBOL","LINK","OFFICIAL_GENE_NAME","PROTEIN_ONTOLOGY_ID","PROTEIN_ONTOLOGY_NAME","PROTEIN_ONTOLOGY_SYNONYMS","PROTEIN_ONTOLOGY_SHORT_LABEL","TAXONOMY_ID","UNIPROT_ENTRY","UNIPROT_ENTRY_NAME"
"123","ANA1096","CD68","-","968","HGNC:1693","CD68","http://purl.obolibrary.org/obo/PR_P34810","CD68 molecule","PR:P34810","macrosialin (human)","hCD68","hCD68",9606,"CD68_HUMAN","Macrosialin"
"124","ANA1097","Cd22","Lyb-8;Siglec2","12483","MGI:88322","Cd22","http://purl.obolibrary.org/obo/PR_P35329","CD22 antigen","PR:P35329","B-cell receptor CD22 (mouse)","B-lymphocyte cell adhesion molecule (mouse);BL-CAM (mouse);CD22 (mouse);T-cell surface antigen Leu-14 (mouse);mCD22;sialic acid-binding Ig-like lectin 2 (mouse);siglec-2 (mouse)","mCD22",10090,"CD22_MOUSE","B-cell receptor CD22"
"125","ANA1098","BSG","-","682","HGNC:1116","CD147","http://purl.obolibrary.org/obo/PR_P35613","basigin (Ok blood group)","PR:P35613","basigin (human)","5F7 (human);CD147 (human);EMMPRIN (human);OK blood group antigen (human);TCSF (human);collagenase stimulatory factor (human);extracellular matrix metalloproteinase inducer (human);hBSG;leukocyte activation antigen M6 (human);tumor cell-derived collagenase stimulatory factor (human)","hBSG",9606,"BASI_HUMAN","Basigin"
"126","ANA1099","Cd81","Tapa1","12520","MGI:1096398","Cd81","http://purl.obolibrary.org/obo/PR_P35762","CD81 antigen","PR:P35762","CD81 antigen (mouse)","26 kDa cell surface protein TAPA-1 (mouse);CD81 (mouse);mCD81;target of the antiproliferative antibody 1 (mouse)","mCD81",10090,"CD81_MOUSE","CD81 antigen"
"127","ANA1100","KDR","FLK1;VEGFR2","3791","HGNC:6307","CD309","http://purl.obolibrary.org/obo/PR_P35968","kinase insert domain receptor","PR:P35968","vascular endothelial growth factor receptor 2 (human)","CD309 (human);FLK-1 (human);VEGFR-2 (human);fetal liver kinase 1 (human);hKDR;kinase insert domain receptor (human);protein-tyrosine kinase receptor flk-1 (human)","hKDR",9606,"VGFR2_HUMAN","Vascular endothelial growth factor receptor 2"
"128","ANA1101","BMPR1A","ACVRLK3;ALK3","657","HGNC:1076","CD292","http://purl.obolibrary.org/obo/PR_P36894","bone morphogenetic protein receptor type 1A","PR:P36894","bone morphogenetic protein receptor type-1A (human)","ALK-3 (human);BMP type-1A receptor (human);BMPR-1A (human);CD292 (human);SKR5 (human);activin receptor-like kinase 3 (human);hBMPR1A;serine/threonine-protein kinase receptor R5 (human)","hBMPR1A",9606,"BMR1A_HUMAN","Bone morphogenetic protein receptor type-1A"
"129","ANA1102","Cd69","-","12515","MGI:88343","Cd69","http://purl.obolibrary.org/obo/PR_P37217","CD69 antigen","PR:P37217","early activation antigen CD69 (mouse)","CD69 (mouse);mCD69","mCD69",10090,"CD69_MOUSE","Early activation antigen CD69"
"130","ANA1103","GP5","-","2814","HGNC:4443","CD42d","http://purl.obolibrary.org/obo/PR_P40197","glycoprotein V platelet","PR:P40197","platelet glycoprotein V (human)","CD42d (human);GPV (human);glycoprotein 5 (human);hGP5","hGP5",9606,"GPV_HUMAN","Platelet glycoprotein V"
"131","ANA1104","CEACAM3","CD66D;CGM1","1084","HGNC:1815","CD66d","http://purl.obolibrary.org/obo/PR_P40198","carcinoembryonic antigen related cell adhesion molecule 3","PR:P40198","carcinoembryonic antigen-related cell adhesion molecule 3 (human)","carcinoembryonic antigen CGM1 (human);hCEACAM3","hCEACAM3",9606,"CEAM3_HUMAN","Carcinoembryonic antigen-related cell adhesion molecule 3"
"132","ANA1105","CEACAM6","NCA","4680","HGNC:1818","CD66c","http://purl.obolibrary.org/obo/PR_P40199","carcinoembryonic antigen related cell adhesion molecule 6","PR:P40199","carcinoembryonic antigen-related cell adhesion molecule 6 (human)","CD66c (human);hCEACAM6;non-specific crossreacting antigen (human);normal cross-reacting antigen (human)","hCEACAM6",9606,"CEAM6_HUMAN","Carcinoembryonic antigen-related cell adhesion molecule 6"
"133","ANA216","TGFBR1","RP11-96L7.1;AAT5;ACVRLK4;ALK-5;ALK5;ESS1;LDS1;LDS1A;LDS2A;MSSE;SKR4;TGFR-1;","7046","HGNC:11772","TGFBR1","http://www.ncbi.nlm.nih.gov/gene/7046","transforming growth factor, beta receptor 1","PR:P36897","TGF-beta receptor type-1 (human)","ALK-5 (human);TGF-beta receptor type I (human);TGF-beta type I receptor (human);TGFR-1 (human);TbetaR-I (human);activin A receptor type II-like protein kinase of 53kD (human);activin receptor-like kinase 5 (human);hTGFBR1;serine/threonine-protein kinase receptor R4 (human);transforming growth factor-beta receptor type I (human)","hTGFBR1",9606,"TGFR1_HUMAN","TGF-beta receptor type-1"
"134","ANA217","TGFBR2","AAT3;FAA3;LDS1B;LDS2;LDS2B;MFS2;RIIC;TAAD2;TGFR-2;TGFbeta-RII;","7048","HGNC:11773","TGFBR2","http://www.ncbi.nlm.nih.gov/gene/7048","transforming growth factor, beta receptor II","PR:P37173","TGF-beta receptor type-2 (human)","TGF-beta receptor type II (human);TGF-beta type II receptor (human);TGFR-2 (human);TbetaR-II (human);hTGFBR2;transforming growth factor-beta receptor type II (human)","hTGFBR2",9606,"TGFR2_HUMAN","TGF-beta receptor type-2"
"135","ANA218","TGFBR3","BGCAN;betaglycan;","7049","HGNC:11774","TGFBR3","http://www.ncbi.nlm.nih.gov/gene/7049","transforming growth factor, beta receptor III","PR:Q03167","transforming growth factor beta receptor type 3 (human)","TGF-beta receptor type 3 (human);TGF-beta receptor type III (human);TGFR-3 (human);betaglycan (human);hTGFBR3;transforming growth factor beta receptor III (human)","hTGFBR3",9606,"TGBR3_HUMAN","Transforming growth factor beta receptor type 3"
"136","ANA219","THPO","ML;TPO;MGDF;MKCSF;MPLLG;THCYT1;","7066","HGNC:11795","THPO","http://www.ncbi.nlm.nih.gov/gene/7066","thrombopoietin","PR:P40225","thrombopoietin (human)","C-mpl ligand (human);ML (human);hTHPO;megakaryocyte colony-stimulating factor (human);megakaryocyte growth and development factor (human);myeloproliferative leukemia virus oncogene ligand (human)","hTHPO",9606,"TPO_HUMAN","Thrombopoietin"
"137","ANA22","CCL3L3","LD78;464.2;SCYA3L;G0S19-2;SCYA3L1;D17S1718;LD78BETA;","414062","HGNC:30554","CCL3L3","http://www.ncbi.nlm.nih.gov/gene/414062","chemokine (C-C motif) ligand 3-like 3","PR:P16619","C-C motif chemokine 3-like 1 (human)","G0/G1 switch regulatory protein 19-2 (human);LD78-beta(1-70) (human);PAT 464.2 (human);hCCL3L;small-inducible cytokine A3-like 1 (human);tonsillar lymphocyte LD78 beta protein (human)","hCCL3L",9606,"CL3L1_HUMAN","LD78-beta(5-70)"
"138","ANA220","TNF","DIF;TNFA;TNFSF2;TNF-alpha;","7124","HGNC:11892","TNFA","http://www.ncbi.nlm.nih.gov/gene/7124","tumor necrosis factor","PR:P01375","tumor necrosis factor (human)","TNF-a (human);TNF-alpha (human);cachectin (human);hTNF;tumor necrosis factor alpha (human);tumor necrosis factor ligand superfamily member 2 (human)","hTNF",9606,"TNFA_HUMAN","Tumor necrosis factor, soluble form"
"139","ANA221","TNFRSF10A","APO2;CD261;DR4;TRAILR-1;TRAILR1;","8797","HGNC:11904","TNFRSF10A","http://www.ncbi.nlm.nih.gov/gene/8797","tumor necrosis factor receptor superfamily, member 10a","PR:O00220","tumor necrosis factor receptor superfamily member 10A (human)","CD261 (human);TNF-related apoptosis-inducing ligand receptor 1 (human);TRAIL receptor 1 (human);TRAIL-R1 (human);death receptor 4 (human);hTNFRSF10A","hTNFRSF10A",9606,"TR10A_HUMAN","Tumor necrosis factor receptor superfamily member 10A"
"140","ANA1215","Cd209c","-","170776","MGI:2157945","Cd209c","http://purl.obolibrary.org/obo/PR_Q91ZW9","CD209c antigen","PR:Q91ZW9","CD209 antigen-like protein C (mouse)","DC-SIGN-related protein 2 (mouse);DC-SIGNR2 (mouse);mCd209c","mCd209c",10090,"C209C_MOUSE","CD209 antigen-like protein C"
"141","ANA1216","Cd209a","Cire","170786","MGI:2157942","Cd209a","http://purl.obolibrary.org/obo/PR_Q91ZX1","CD209a antigen","PR:Q91ZX1","CD209 antigen-like protein A (mouse)","DC-SIGN (mouse);dendritic cell-specific ICAM-3-grabbing non-integrin (mouse);mCd209a","mCd209a",10090,"C209A_MOUSE","CD209 antigen-like protein A"
"142","ANA1217","NECTIN2","HVEB;PRR2;PVRL2","5819","HGNC:9707","CD112","http://purl.obolibrary.org/obo/PR_Q92692","nectin cell adhesion molecule 2","PR:Q92692","nectin-2 (human)","CD112 (human);hNECTIN2;herpes virus entry mediator B (human);herpesvirus entry mediator B (human);nectin cell adhesion molecule 2 (human);poliovirus receptor-related protein 2 (human)","hNECTIN2",9606,"NECT2_HUMAN","Nectin-2"
"143","ANA1218","SEMA4D","C9orf164;CD100;SEMAJ","10507","HGNC:10732","CD100","http://purl.obolibrary.org/obo/PR_Q92854","semaphorin 4D","PR:Q92854","semaphorin-4D (human)","A8 (human);BB18 (human);GR3 (human);hSEMA4D","hSEMA4D",9606,"SEM4D_HUMAN","Semaphorin-4D"
"144","ANA1219","CD101","EWI101;IGSF2;V7","9398","HGNC:5949","CD101","http://purl.obolibrary.org/obo/PR_Q93033","CD101 molecule","PR:Q93033","immunoglobulin superfamily member 2 (human)","EWI-101 (human);Glu-Trp-Ile EWI motif-containing protein 101 (human);cell surface glycoprotein V7 (human);hCD101","hCD101",9606,"IGSF2_HUMAN","Immunoglobulin superfamily member 2"
"145","ANA1220","ART4","DO;DOK1","420","HGNC:726","CD297","http://purl.obolibrary.org/obo/PR_Q93070","ADP-ribosyltransferase 4 (Dombrock blood group)","PR:Q93070","ecto-ADP-ribosyltransferase 4 (human)","ADP-ribosyltransferase C2 and C3 toxin-like 4 (human);ARTC4 (human);CD297 (human);NAD(P)(+)--arginine ADP-ribosyltransferase 4 (human);dombrock blood group carrier molecule (human);hART4;mono(ADP-ribosyl)transferase 4 (human)","hART4",9606,"NAR4_HUMAN","Ecto-ADP-ribosyltransferase 4"
"146","ANA1221","IGSF8","CD81P3;EWI2;KCT4","93185","HGNC:17813","CD316","http://purl.obolibrary.org/obo/PR_Q969P0","immunoglobulin superfamily member 8","PR:Q969P0","immunoglobulin superfamily member 8 (human)","CD316 (human);CD81 partner 3 (human);EWI-2 (human);Glu-Trp-Ile EWI motif-containing protein 2 (human);IgSF8 (human);KCT-4 (human);LIR-D1 (human);PGRL (human);hIGSF8;keratinocytes-associated transmembrane protein 4 (human);prostaglandin regulatory-like protein (human)","hIGSF8",9606,"IGSF8_HUMAN","Immunoglobulin superfamily member 8"
"147","ANA1222","TNFRSF13C","BAFFR;BR3","115650","HGNC:17755","CD268","http://purl.obolibrary.org/obo/PR_Q96RJ3","TNF receptor superfamily member 13C","PR:Q96RJ3","tumor necrosis factor receptor superfamily member 13C (human)","B-cell-activating factor receptor (human);BAFF receptor (human);BAFF-R (human);BLyS receptor 3 (human);CD268 (human);hTNFRSF13C","hTNFRSF13C",9606,"TR13C_HUMAN","Tumor necrosis factor receptor superfamily member 13C"
"148","ANA1223","CD180","LY64;RP105","4064","HGNC:6726","CD180","http://purl.obolibrary.org/obo/PR_Q99467","CD180 molecule","PR:Q99467","CD180 antigen (human)","hCD180;lymphocyte antigen 64 (human);radioprotective 105 kDa protein (human)","hCD180",9606,"CD180_HUMAN","CD180 antigen"
"149","ANA222","TNFRSF10B","UNQ160/PRO186;CD262;DR5;KILLER;KILLER/DR5;TRAIL-R2;TRAILR2;TRICK2;TRICK2A;TRICK2B;TRICKB;ZTNFR9;","8795","HGNC:11905","TNFRSF10B","http://www.ncbi.nlm.nih.gov/gene/8795","tumor necrosis factor receptor superfamily, member 10b","PR:O14763","tumor necrosis factor receptor superfamily member 10B (human)","CD262 (human);TNF-related apoptosis-inducing ligand receptor 2 (human);TRAIL receptor 2 (human);TRAIL-R2 (human);death receptor 5 (human);hTNFRSF10B","hTNFRSF10B",9606,"TR10B_HUMAN","Tumor necrosis factor receptor superfamily member 10B"
"150","ANA223","TNFRSF10C","UNQ321/PRO366;CD263;DCR1;DCR1-TNFR;LIT;TRAIL-R3;TRAILR3;TRID;","8794","HGNC:11906","TNFRSF10C","http://www.ncbi.nlm.nih.gov/gene/8794","tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain","PR:O14798","tumor necrosis factor receptor superfamily member 10C (human)","CD263 (human);TNF-related apoptosis-inducing ligand receptor 3 (human);TRAIL receptor 3 (human);TRAIL receptor without an intracellular domain (human);TRAIL-R3 (human);antagonist decoy receptor for TRAIL/Apo-2L (human);decoy TRAIL receptor without death domain (human);decoy receptor 1 (human);hTNFRSF10C;lymphocyte inhibitor of TRAIL (human)","hTNFRSF10C",9606,"TR10C_HUMAN","Tumor necrosis factor receptor superfamily member 10C"
"151","ANA224","TNFRSF10D","UNQ251/PRO288;CD264;DCR2;TRAIL-R4;TRAILR4;TRUNDD;","8793","HGNC:11907","TNFRSF10D","http://www.ncbi.nlm.nih.gov/gene/8793","tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain","PR:Q9UBN6","tumor necrosis factor receptor superfamily member 10D (human)","CD264 (human);TNF-related apoptosis-inducing ligand receptor 4 (human);TRAIL receptor 4 (human);TRAIL receptor with a truncated death domain (human);TRAIL-R4 (human);decoy receptor 2 (human);hTNFRSF10D","hTNFRSF10D",9606,"TR10D_HUMAN","Tumor necrosis factor receptor superfamily member 10D"
"152","ANA225","TNFRSF11A","CD265;FEO;LOH18CR1;ODFR;OFE;OPTB7;OSTS;PDB2;RANK;TRANCER;","8792","HGNC:11908","TNFRSF11A","http://www.ncbi.nlm.nih.gov/gene/8792","tumor necrosis factor receptor superfamily, member 11a, NFKB activator","PR:Q9Y6Q6","tumor necrosis factor receptor superfamily member 11A (human)","CD265 (human);ODFR (human);hTNFRSF11A;osteoclast differentiation factor receptor (human);receptor activator of NF-KB (human)","hTNFRSF11A",9606,"TNR11_HUMAN","Tumor necrosis factor receptor superfamily member 11A"
"153","ANA226","TNFRSF11B","OCIF;OPG;TR1;","4982","HGNC:11909","OPG","http://www.ncbi.nlm.nih.gov/gene/4982","tumor necrosis factor receptor superfamily, member 11b","PR:O00300","tumor necrosis factor receptor superfamily member 11B (human)","hTNFRSF11B;osteoclastogenesis inhibitory factor (human);osteoprotegerin (human)","hTNFRSF11B",9606,"TR11B_HUMAN","Tumor necrosis factor receptor superfamily member 11B"
"154","ANA227","TNFRSF13B","CD267;CVID;CVID2;RYZN;TACI;TNFRSF14B;","23495","HGNC:18153","TNFRSF13B","http://www.ncbi.nlm.nih.gov/gene/23495","tumor necrosis factor receptor superfamily, member 13B","PR:O14836","tumor necrosis factor receptor superfamily member 13B (human)","CD267 (human);hTNFRSF13B;transmembrane activator and CAML interactor (human)","hTNFRSF13B",9606,"TR13B_HUMAN","Tumor necrosis factor receptor superfamily member 13B"
"155","ANA228","TNFRSF14","RP3-395M20.6;ATAR;CD270;HVEA;HVEM;LIGHTR;TR2;","8764","HGNC:11912","TNFRSF14","http://www.ncbi.nlm.nih.gov/gene/8764","tumor necrosis factor receptor superfamily, member 14","PR:Q92956","tumor necrosis factor receptor superfamily member 14 (human)","CD270 (human);hTNFRSF14;herpes virus entry mediator A (human);herpesvirus entry mediator A (human);tumor necrosis factor receptor-like 2 (human)","hTNFRSF14",9606,"TNR14_HUMAN","Tumor necrosis factor receptor superfamily member 14"
"156","ANA1224","KIR2DL4","CD158D;KIR103AS","3805","HGNC:6332","CD158D","http://purl.obolibrary.org/obo/PR_Q99706","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4","PR:Q99706","killer cell immunoglobulin-like receptor 2DL4 (human)","CD158 antigen-like family member D (human);G9P (human);KIR-103AS (human);MHC class I NK cell receptor KIR103AS (human);hKIR2DL4;killer cell inhibitory receptor 103AS (human)","hKIR2DL4",9606,"KI2L4_HUMAN","Killer cell immunoglobulin-like receptor 2DL4"
"157","ANA1225","TLR10","-","81793","HGNC:15634","CD290","http://purl.obolibrary.org/obo/PR_Q9BXR5","toll like receptor 10","PR:Q9BXR5","Toll-like receptor 10 (human)","CD290 (human);hTLR10","hTLR10",9606,"TLR10_HUMAN","Toll-like receptor 10"
"158","ANA1226","CD244","2B4","51744","HGNC:18171","CD244","http://purl.obolibrary.org/obo/PR_Q9BZW8","CD244 molecule","PR:Q9BZW8","natural killer cell receptor 2B4 (human)","NAIL (human);NK cell activation-inducing ligand (human);NK cell type I receptor protein 2B4 (human);NKR2B4 (human);SLAM family member 4 (human);SLAMF4 (human);h2B4 (human);hCD244;signaling lymphocytic activation molecule 4 (human)","hCD244",9606,"CD244_HUMAN","Natural killer cell receptor 2B4"
"159","ANA1227","SIGLEC1","SN","6614","HGNC:11127","CD169","http://purl.obolibrary.org/obo/PR_Q9BZZ2","sialic acid binding Ig like lectin 1","PR:Q9BZZ2","sialoadhesin (human)","CD169 (human);hSIGLEC1;sialic acid-binding Ig-like lectin 1 (human);siglec-1 (human)","hSIGLEC1",9606,"SN_HUMAN","Sialoadhesin"
"160","ANA1228","Cd2bp2","-","70233","MGI:1917483","Cd2bp2","http://purl.obolibrary.org/obo/PR_Q9CWK3","CD2 cytoplasmic tail binding protein 2","PR:Q9CWK3","CD2 antigen cytoplasmic tail-binding protein 2 (mouse)","CD2 cytoplasmic domain-binding protein 2 (mouse);CD2 tail-binding protein 2 (mouse);mCD2BP2","mCD2BP2",10090,"CD2B2_MOUSE","CD2 antigen cytoplasmic tail-binding protein 2"
"161","ANA1229","Cd164l2","-","69655","MGI:1916905","Cd164l2","http://purl.obolibrary.org/obo/PR_Q9D6W7","CD164 sialomucin-like 2","PR:Q9D6W7","CD164 sialomucin-like 2 protein (mouse)","mCD164L2","mCD164L2",10090,"C16L2_MOUSE","CD164 sialomucin-like 2 protein"
"162","ANA1230","Cd302","Clec13a","66205","MGI:1913455","Cd302","http://purl.obolibrary.org/obo/PR_Q9DCG2","CD302 antigen","PR:Q9DCG2","CD302 antigen (mouse)","C-type lectin domain family 13 member A (mouse);CD302 (mouse);mCD302;type I transmembrane C-type lectin receptor DCL-1 (mouse)","mCD302",10090,"CD302_MOUSE","CD302 antigen"
"163","ANA1231","Cd274","B7h1;Pdcd1l1;Pdcd1lg1;Pdl1","60533","MGI:1926446","Cd274","http://purl.obolibrary.org/obo/PR_Q9EP73","CD274 antigen","PR:Q9EP73","programmed cell death 1 ligand 1 (mouse)","B7 homolog 1 (mouse);B7-H1 (mouse);CD274 (mouse);PD-L1 (mouse);PDCD1 ligand 1 (mouse);mCD274;programmed death ligand 1 (mouse)","mCD274",10090,"PD1L1_MOUSE","Programmed cell death 1 ligand 1"
"164","ANA1232","Cd200r1","Mox2r;Ox2r","57781","MGI:1889024","Cd200r1","http://purl.obolibrary.org/obo/PR_Q9ES57","CD200 receptor 1","PR:Q9ES57","cell surface glycoprotein CD200 receptor 1 (mouse)","CD200 cell surface glycoprotein receptor (mouse);cell surface glycoprotein OX2 receptor 1 (mouse);mCd200r1","mCd200r1",10090,"MO2R1_MOUSE","Cell surface glycoprotein CD200 receptor 1"
"165","ANA229","TNFRSF17","BCM;BCMA;CD269;TNFRSF13A;","608","HGNC:11913","TNFRSF17","http://www.ncbi.nlm.nih.gov/gene/608","tumor necrosis factor receptor superfamily, member 17","PR:Q02223","tumor necrosis factor receptor superfamily member 17 (human)","B-cell maturation protein (human);CD269 (human);hTNFRSF17","hTNFRSF17",9606,"TNR17_HUMAN","Tumor necrosis factor receptor superfamily member 17"
"166","ANA23","CCL3P1","CCL3L2; G0S19-3; SCYA3L2; LD78gamma;","390788","HGNC:10629","CCL3P1","http://www.ncbi.nlm.nih.gov/gene/390788","chemokine (C-C motif) ligand 3 pseudogene 1","PR:000002123","C-C motif chemokine 3","CCL3;G0/G1 switch regulatory protein 19-1;L2G25B;MIP-1-alpha;PAT 464.1;SIS-alpha;SIS-beta;TY-5;heparin-binding chemotaxis protein;macrophage inflammatory protein 1-alpha;small-inducible cytokine A3;tonsillar lymphocyte LD78 alpha protein","CCL3",9606,"-","-"
"167","ANA230","TNFRSF18","RP5-902P8.2;AITR;CD357;GITR;GITR-D;","8784","HGNC:11914","TNFRSF18","http://www.ncbi.nlm.nih.gov/gene/8784","tumor necrosis factor receptor superfamily, member 18","PR:Q9Y5U5","tumor necrosis factor receptor superfamily member 18 (human)","CD357 (human);activation-inducible TNFR family receptor (human);glucocorticoid-induced TNFR-related protein (human);hTNFRSF18","hTNFRSF18",9606,"TNR18_HUMAN","Tumor necrosis factor receptor superfamily member 18"
"168","ANA231","TNFRSF1A","CD120a;FPF;MS5;TBP1;TNF-R;TNF-R-I;TNF-R55;TNFAR;TNFR1;TNFR1-d2;TNFR55;TNFR60;p55;p55-R;p60;","7132","HGNC:11916","TNFRSF1A","http://www.ncbi.nlm.nih.gov/gene/7132","tumor necrosis factor receptor superfamily, member 1A","PR:P19438","tumor necrosis factor receptor superfamily member 1A (human)","CD120a (human);TNF-R1 (human);TNF-RI (human);TNFR-I (human);hTNFRSF1A;tumor necrosis factor receptor 1 (human);tumor necrosis factor receptor type I (human)","hTNFRSF1A",9606,"TNR1A_HUMAN","Tumor necrosis factor-binding protein 1"
"169","ANA232","TNFRSF1B","CD120b;TBPII;TNF-R-II;TNF-R75;TNFBR;TNFR1B;TNFR2;TNFR80;p75;p75TNFR;","7133","HGNC:11917","TNFRSF1B","http://www.ncbi.nlm.nih.gov/gene/7133","tumor necrosis factor receptor superfamily, member 1B","PR:P20333","tumor necrosis factor receptor superfamily member 1B (human)","CD120b (human);TNF-R2 (human);TNF-RII (human);TNFR-II (human);etanercept (human);hTNFRSF1B;p80 TNF-alpha receptor (human);tumor necrosis factor receptor 2 (human);tumor necrosis factor receptor type II (human)","hTNFRSF1B",9606,"TNR1B_HUMAN","Tumor necrosis factor-binding protein 2"
"170","ANA233","TNFRSF25","RP4-650H14.2;APO-3;DDR3;DR3;LARD;TNFRSF12;TR3;TRAMP;WSL-1;WSL-LR;","8718","HGNC:11910","TNFRSF25","http://www.ncbi.nlm.nih.gov/gene/8718","tumor necrosis factor receptor superfamily, member 25","PR:Q93038","tumor necrosis factor receptor superfamily member 25 (human)","LARD (human);apo-3 (human);apoptosis-inducing receptor AIR (human);apoptosis-mediating receptor DR3 (human);apoptosis-mediating receptor TRAMP (human);death receptor 3 (human);hTNFRSF25;lymphocyte-associated receptor of death (human);protein WSL (human);protein WSL-1 (human)","hTNFRSF25",9606,"TNR25_HUMAN","Tumor necrosis factor receptor superfamily member 25"
"171","ANA234","TNFRSF4","RP5-902P8.3;ACT35;CD134;IMD16;OX40;TXGP1L;","7293","HGNC:11918","TNFRSF4","http://www.ncbi.nlm.nih.gov/gene/7293","tumor necrosis factor receptor superfamily, member 4","PR:P43489","tumor necrosis factor receptor superfamily member 4 (human)","ACT35 antigen (human);CD134 (human);OX40L receptor (human);TAX transcriptionally-activated glycoprotein 1 receptor (human);hTNFRSF4","hTNFRSF4",9606,"TNR4_HUMAN","Tumor necrosis factor receptor superfamily member 4"
"172","ANA235","TNFRSF8","CD30;D1S166E;Ki-1;","943","HGNC:11923","TNFRSF8","http://www.ncbi.nlm.nih.gov/gene/943","tumor necrosis factor receptor superfamily, member 8","PR:P28908","tumor necrosis factor receptor superfamily member 8 (human)","CD30L receptor (human);Ki-1 antigen (human);hTNFRSF8;lymphocyte activation antigen CD30 (human)","hTNFRSF8",9606,"TNR8_HUMAN","Tumor necrosis factor receptor superfamily member 8"
"173","ANA1233","CLEC4M","CD209L;CD209L1;CD299","10332","HGNC:13523","CD299","http://purl.obolibrary.org/obo/PR_Q9H2X3","C-type lectin domain family 4 member M","PR:Q9H2X3","C-type lectin domain family 4 member M (human)","CD209 antigen-like protein 1 (human);DC-SIGN-related protein (human);DC-SIGN2 (human);DC-SIGNR (human);L-SIGN (human);dendritic cell-specific ICAM-3-grabbing non-integrin 2 (human);hCLEC4M;liver/lymph node-specific ICAM-3-grabbing non-integrin (human)","hCLEC4M",9606,"CLC4M_HUMAN","C-type lectin domain family 4 member M"
"174","ANA1234","CDCP1","TRASK","64866","HGNC:24357","CD318","http://purl.obolibrary.org/obo/PR_Q9H5V8","CUB domain containing protein 1","PR:Q9H5V8","CUB domain-containing protein 1 (human)","CD318 (human);SIMA135 (human);hCDCP1;membrane glycoprotein gp140 (human);subtractive immunization M plus HEp3-associated 135 kDa protein (human);transmembrane and associated with src kinases (human)","hCDCP1",9606,"CDCP1_HUMAN","CUB domain-containing protein 1"
"175","ANA1235","LY9","-","4063","HGNC:6730","CD229","http://purl.obolibrary.org/obo/PR_Q9HBG7","lymphocyte antigen 9","PR:Q9HBG7","T-lymphocyte surface antigen Ly-9 (human)","CD229 (human);SLAM family member 3 (human);SLAMF3 (human);cell surface molecule Ly-9 (human);hLY9;lymphocyte antigen 9 (human);signaling lymphocytic activation molecule 3 (human)","hLY9",9606,"LY9_HUMAN","T-lymphocyte surface antigen Ly-9"
"176","ANA1236","CD248","CD164L1;TEM1","57124","HGNC:18219","CD248","http://purl.obolibrary.org/obo/PR_Q9HCU0","CD248 molecule","PR:Q9HCU0","endosialin (human)","hCD248;tumor endothelial marker 1 (human)","hCD248",9606,"CD248_HUMAN","Endosialin"
"177","ANA1237","Cd111","Hvec;Prr1;Pvrl1","58235","MGI:1926483","Nectin1","http://purl.obolibrary.org/obo/PR_Q9JKF6","nectin cell adhesion molecule 1","PR:Q9JKF6","nectin-1 (mouse)","CD111 (mouse);HveC (mouse);herpes virus entry mediator C (mouse);herpesvirus entry mediator C (mouse);mNECTIN1;nectin cell adhesion molecule 1 (mouse);poliovirus receptor-related protein 1 (mouse)","mNECTIN1",10090,"NECT1_MOUSE","Nectin-1"
"178","ANA1238","Cd113","Pvrl3","58998","MGI:1930171","Nectin3","http://purl.obolibrary.org/obo/PR_Q9JLB9","nectin cell adhesion molecule 3","PR:Q9JLB9","nectin-3 (mouse)","CD113 (mouse);mNECTIN3;nectin cell adhesion molecule 3 (mouse);poliovirus receptor-related protein 3 (mouse)","mNECTIN3",10090,"NECT3_MOUSE","Nectin-3"
"179","ANA1239","Cd2ap","Mets1","12488","MGI:1330281","Cd2ap","http://purl.obolibrary.org/obo/PR_Q9JLQ0","CD2-associated protein","PR:Q9JLQ0","CD2-associated protein (mouse)","METS-1 (mouse);mCD2AP;mesenchyme-to-epithelium transition protein with SH3 domains 1 (mouse)","mCD2AP",10090,"CD2AP_MOUSE","CD2-associated protein"
"180","ANA1240","TNFRSF12A","FN14","51330","HGNC:18152","CD266","http://purl.obolibrary.org/obo/PR_Q9NP84","TNF receptor superfamily member 12A","PR:Q9NP84","tumor necrosis factor receptor superfamily member 12A (human)","CD266 (human);FGF-inducible 14 (human);TweakR (human);fibroblast growth factor-inducible immediate-early response protein 14 (human);hTNFRSF12A;tweak-receptor (human)","hTNFRSF12A",9606,"TNR12_HUMAN","Tumor necrosis factor receptor superfamily member 12A"
"181","ANA236","TNFRSF9","4-1BB;CD137;CDw137;ILA;","3604","HGNC:11924","TNFRSF9","http://www.ncbi.nlm.nih.gov/gene/3604","tumor necrosis factor receptor superfamily, member 9","PR:Q07011","tumor necrosis factor receptor superfamily member 9 (human)","4-1BB ligand receptor (human);CDw137 (human);T-cell antigen 4-1BB homolog (human);T-cell antigen ILA (human);hTNFRSF9","hTNFRSF9",9606,"TNR9_HUMAN","Tumor necrosis factor receptor superfamily member 9"
